Purpose Code,Revised Purpose Code,diff purp code,Collateral Code,Revised Collateral Code,diff coll code,purp/coll diff,Property Type,Net Operating Income,Annual Debt Service,Appraised Value,SWAP?,State,Bank,Team,Region,Original             Balance,Net Current Balance,Unused Commitment,Open   Date,Date Maturity,Interest Rate,Guarantor?,Risk Code,Relationship ID,Division
81,90,diff,8604,8604,match,diff/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"1,000,000.00 ",0.00 ,"1,000,000.00 ",06/24/15,12/31/79,4.75%,YES,4,4712,Northern VA Division
81,71,diff,8602,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"500,000.00 ","242,276.84 ",0.00 ,10/02/07,12/31/79,4.25%,YES,5,11346,Northern VA Division
81,81 ,match,8604,8613,diff,match/diff,Homebuilder,,,,,DE,FB,WOOD,DMV,"2,100,000.00 ",0.00 ,"2,100,000.00 ",01/21/16,12/31/79,4.75%,YES,5,11349,Northern VA Division
81,81 ,match,8606,8613,diff,match/diff,Homebuilder,,,,,DE,FB,WOOD,DMV,"13,250,000.00 ","2,965,297.36 ","10,284,702.64 ",11/14/17,12/31/79,4.50%,no,3,619,Northern VA Division
81,72,diff,8606,8613,diff,diff/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"2,537,000.00 ","780,789.00 ","1,152,403.50 ",12/17/14,06/17/18,4.50%,YES,5,15389,Northern VA Division
81,72,diff,8606,8613,diff,diff/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"5,000,000.00 ","534,738.00 ","4,465,262.00 ",02/27/15,02/27/19,4.75%,YES,5,15389,Northern VA Division
81,81,match,8606,8613,diff,match/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"315,000.00 ","314,819.67 ",0.00 ,07/21/15,12/31/79,4.75%,YES,5,18062,Northern VA Division
81,81,match,8613,8613,match,match/match,Homebuilder,,,,,VA,FB,WOOD,DMV,"5,832,750.00 ","3,139,663.07 ","2,693,086.93 ",02/02/16,02/28/18,4.50%,YES,5,20518,Northern VA Division
81,81,match,8613,8613,match,match/match,Homebuilder,,,,,VA,FB,WOOD,DMV,"186,624.00 ","186,624.00 ",0.00 ,11/17/16,12/01/17,5.25%,YES,5,13903,Northern VA Division
81,81,match,8606,8613,diff,match/diff,Homebuilder,,,,,VA,FB,WOOD,DMV,"193,821.00 ","32,296.00 ","161,525.00 ",11/03/17,12/31/79,4.75%,YES,4,14065,Northern VA Division
