Purpose Code,Revised Purpose Code,diff purp code,Collateral Code,Revised Collateral Code,diff coll code,purp/coll diff,Property Type,Net Operating Income,Annual Debt Service,Appraised Value,SWAP?,State,Bank,Team,Region,Original             Balance,Net Current Balance,Unused Commitment,Open   Date,Date Maturity,Interest Rate,Guarantor?,Risk Code,Relationship ID,Division
84,84,match,8607,8407,diff,match/diff,Self Storage,,,,,NJ,FBNJ,ROARK,NJ,"1,100,000.00 ","1,078,097.48 ","21,902.52 ",10/06/17,10/06/37,4.00%,YES,5 ,7256,
83,71,diff,8608,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"2,835,000.00 ","2,516,297.33 ",0.00 ,06/21/13,06/21/38,3.95%,YES,5,8423,
83,71,diff,8300,8300,match,diff/match,Multifamily,,,,,PA,FB,MOWERY,CPA,"1,665,000.00 ","1,523,055.23 ",0.00 ,06/21/13,06/21/38,3.95%,YES,5,8423,
83,71,diff,8608,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"3,000,000.00 ","2,799,758.67 ",0.00 ,06/21/13,06/21/38,3.95%,YES,5,8423,
83,71,diff,8608,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"2,500,000.00 ","2,395,295.14 ",0.00 ,06/21/13,06/21/38,4.09%,YES,5,8423,
83,71,diff,8608,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"6,700,000.00 ","6,616,464.89 ",0.00 ,06/21/13,06/21/38,4.09%,YES,5,8423,
83,71,diff,8401,8401,match,diff/match,Office,,,,,PA,FB,MOWERY,CPA,"600,000.00 ","501,229.41 ",0.00 ,03/22/13,09/22/33,4.15%,YES,5,,
83,94,diff,8604,8604,match,diff/match,Homebuilder,,,,,PA,FB,MOWERY,CPA,"2,232,560.00 ","2,232,559.00 ",0.00 ,03/26/13,03/31/18,4.75%,YES,5,9641,
83,84,diff,8300,5500,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"3,900,000.00 ","3,876,218.11 ",0.00 ,01/28/16,01/31/24,4.25%,YES,4,15220,
83,71,diff,8300,8300,match,diff/match,Multifamily,,,,,PA,FB,MOWERY,CPA,"3,825,000.00 ","3,239,146.17 ",0.00 ,07/06/12,07/01/20,4.50%,YES,4,15220,
83,71,diff,8614,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"10,600,000.00 ","8,305,840.66 ","2,294,159.34 ",12/28/16,12/15/44,4.00%,YES,5,8423,
83,71,diff,8614,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"4,900,000.00 ",0.00 ,"4,900,000.00 ",12/28/16,12/15/46,3.89%,YES,5,8423,
83,83,match,8612,8612,match,match/match,Retail,,,,,PA,FB,MOWERY,CPA,"9,816,000.00 ","6,272,046.03 ","3,543,953.97 ",03/16/17,03/16/44,3.49%,YES,5,1737,
83,71,diff,8614,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"1,688,000.00 ","1,659,462.39 ",0.00 ,11/16/16,05/15/42,3.90%,YES,4,3956,
83,71,diff,8300,8300,match,diff/match,Multifamily,,,,,PA,FB,KIRK,SEPA,"1,046,000.00 ",0.00 ,"1,046,000.00 ",07/13/16,07/31/20,3.06%,no,5,18734,
83,91,diff,8605,8605,match,diff/match,Retail,,,,,PA,FB,MOWERY,CPA,"1,050,000.00 ","725,671.22 ","229,122.18 ",08/27/15,08/27/19,5.25%,YES,4,5163,
83,83,match,8408,8401,diff,match/diff,Office,,,,,PA,FB,MOWERY,CPA,"518,250.00 ","516,869.63 ",0.00 ,04/18/17,10/18/37,4.50%,YES,5,9305,
83,83,match,8608,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"1,550,000.00 ","1,550,000.00 ",0.00 ,02/10/17,02/15/44,3.76%,YES,5,8489,
83,83,match,8608,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"1,550,000.00 ","502,341.00 ","1,047,659.00 ",02/10/17,02/15/44,4.45%,YES,5,8489,
